epoch,train_loss,val_loss,lr,tiempo_s
1,0.68916,0.61705,0.001,220.1
2,0.66071,0.60989,0.001,226.9
3,0.65518,0.60338,0.001,224.3
4,0.64909,0.6052,0.001,220.7
5,0.64734,0.60879,0.001,223.9
6,0.64496,0.60626,0.001,223.5
7,0.64281,0.60322,0.001,222.7
8,0.64269,0.59914,0.001,223.7
9,0.64156,0.59764,0.001,224.0
10,0.64071,0.60075,0.001,225.4
11,0.63812,0.60362,0.001,225.6
12,0.63765,0.59923,0.001,226.9
13,0.63652,0.59443,0.001,225.4
14,0.6371,0.60048,0.001,225.7
15,0.63637,0.59757,0.001,227.2
16,0.63516,0.60098,0.001,226.9
17,0.63545,0.59974,0.001,226.0
18,0.63591,0.59797,0.001,225.1
19,0.63426,0.59548,0.0005,225.2
20,0.62851,0.59361,0.0005,224.5
21,0.62647,0.59242,0.0005,222.3
22,0.62639,0.58905,0.0005,224.6
23,0.62598,0.59217,0.0005,224.6
24,0.62486,0.58698,0.0005,228.5
25,0.62534,0.58728,0.0005,226.6
26,0.5936,0.54047,0.0001,235.5
27,0.56428,0.5223,0.0001,235.2
28,0.54621,0.49998,0.0001,237.6
29,0.51354,0.47539,0.0001,238.0
30,0.4964,0.46617,0.0001,236.6
31,0.48358,0.45788,0.0001,234.4
32,0.471,0.44574,0.0001,236.3
33,0.4588,0.43959,0.0001,234.4
34,0.44896,0.43298,0.0001,234.8
35,0.44113,0.42913,0.0001,235.7
36,0.43425,0.42553,0.0001,235.4
37,0.42776,0.42543,0.0001,235.3
38,0.42147,0.42152,0.0001,232.7
39,0.41664,0.4182,0.0001,233.3
40,0.4116,0.41574,0.0001,234.3
41,0.40621,0.41482,0.0001,234.8
42,0.4019,0.41267,0.0001,236.2
43,0.3968,0.40993,0.0001,235.6
44,0.39401,0.4085,0.0001,234.7
45,0.38943,0.40908,0.0001,235.0
46,0.38612,0.40831,0.0001,237.6
47,0.38257,0.40534,0.0001,237.0
48,0.37815,0.40599,0.0001,236.2
49,0.37564,0.40631,0.0001,235.3
50,0.37266,0.40552,0.0001,235.6
